Time [s], Analyzer Name, Decoded Protocol Result
1.565637120000000,SPI,MOSI: 0xAE;  MISO: 0x00
1.565638180000000,SPI,MOSI: 0xD5;  MISO: 0x00
1.565639240000000,SPI,MOSI: 0x80;  MISO: 0x00
1.565640320000000,SPI,MOSI: 0xA8;  MISO: 0x00
1.565641380000000,SPI,MOSI: 0x3F;  MISO: 0x00
1.565642440000000,SPI,MOSI: 0xD3;  MISO: 0x00
1.565643520000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565644580000000,SPI,MOSI: 0x40;  MISO: 0x00
1.565645640000000,SPI,MOSI: 0x8D;  MISO: 0x00
1.565646720000000,SPI,MOSI: 0x14;  MISO: 0x00
1.565647780000000,SPI,MOSI: 0x20;  MISO: 0x00
1.565648840000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565649920000000,SPI,MOSI: 0xA1;  MISO: 0x00
1.565650980000000,SPI,MOSI: 0xC8;  MISO: 0x00
1.565652040000000,SPI,MOSI: 0xDA;  MISO: 0x00
1.565653120000000,SPI,MOSI: 0x12;  MISO: 0x00
1.565654180000000,SPI,MOSI: 0x81;  MISO: 0x00
1.565655240000000,SPI,MOSI: 0xCF;  MISO: 0x00
1.565656320000000,SPI,MOSI: 0xD9;  MISO: 0x00
1.565657380000000,SPI,MOSI: 0xF1;  MISO: 0x00
1.565658440000000,SPI,MOSI: 0xDB;  MISO: 0x00
1.565659520000000,SPI,MOSI: 0x40;  MISO: 0x00
1.565660580000000,SPI,MOSI: 0xA4;  MISO: 0x00
1.565661640000000,SPI,MOSI: 0xA6;  MISO: 0x00
1.565662720000000,SPI,MOSI: 0xAF;  MISO: 0x00
1.565670320000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565671400000000,SPI,MOSI: 0x10;  MISO: 0x00
1.565672460000000,SPI,MOSI: 0x40;  MISO: 0x00
1.565674420000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565675500000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565676560000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565677620000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565678700000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565679760000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565680820000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565681900000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565682960000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565684020000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565685100000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565686160000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565687220000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565688300000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565689360000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565690420000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565691500000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565692560000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565693620000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565694700000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565695760000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565696820000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565697900000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565698960000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565700020000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565701100000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565702160000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565703220000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565704300000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565705360000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565706420000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565707500000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565708560000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565709620000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565710700000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565711760000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565712820000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565713900000000,SPI,MOSI: 0x00;  MISO: 0x00
1.565714960000000,SPI,MOSI: 0x00;  MISO: 0x00
